Raw.file	celltype	id	cvm	RI
XwGH0537	LPS	i200	0.337798404521348	Reporter.intensity.corrected.8
XwGH0537	LPS	i201	0.315475117108792	Reporter.intensity.corrected.9
XwGH0537	untreated	i202	0.344231685995057	Reporter.intensity.corrected.10
XwGH0537	untreated	i203	0.318657243294422	Reporter.intensity.corrected.11
XwGH0537	untreated	i204	0.331554759491314	Reporter.intensity.corrected.12
XwGH0537	untreated	i205	0.304676457582463	Reporter.intensity.corrected.13
XwGH0537	control	i206	0.670890186398946	Reporter.intensity.corrected.14
XwGH0537	untreated	i207	0.309354633137638	Reporter.intensity.corrected.15
XwGH0537	LPS	i208	0.316907288413611	Reporter.intensity.corrected.16
XwGH0538	LPS	i214	0.333350535517139	Reporter.intensity.corrected.6
XwGH0538	LPS	i215	0.315745788315428	Reporter.intensity.corrected.7
XwGH0538	LPS	i216	0.312133803702608	Reporter.intensity.corrected.8
XwGH0538	untreated	i217	0.353270767504842	Reporter.intensity.corrected.9
XwGH0538	untreated	i218	0.341810100229116	Reporter.intensity.corrected.10
XwGH0538	untreated	i219	0.353276024182226	Reporter.intensity.corrected.11
XwGH0501	LPS	i22	0.356173977514036	Reporter.intensity.corrected.6
XwGH0538	untreated	i220	0.308377316201517	Reporter.intensity.corrected.12
XwGH0538	untreated	i221	0.312915307938895	Reporter.intensity.corrected.13
XwGH0538	LPS	i222	0.309368989042509	Reporter.intensity.corrected.14
XwGH0538	control	i223	0.60303798211804	Reporter.intensity.corrected.15
XwGH0538	LPS	i224	0.320958632710031	Reporter.intensity.corrected.16
XwGH0501	LPS	i23	0.712248644304562	Reporter.intensity.corrected.7
XwGH0539	LPS	i230	0.33608188387208	Reporter.intensity.corrected.6
XwGH0539	untreated	i231	0.376082037916847	Reporter.intensity.corrected.7
XwGH0539	untreated	i232	0.361595859013113	Reporter.intensity.corrected.8
XwGH0539	untreated	i233	0.365330124977844	Reporter.intensity.corrected.9
XwGH0539	untreated	i234	0.396903316915096	Reporter.intensity.corrected.10
XwGH0539	untreated	i235	0.335225685958804	Reporter.intensity.corrected.11
XwGH0539	untreated	i236	0.348162068848457	Reporter.intensity.corrected.12
XwGH0539	LPS	i237	0.332475251588207	Reporter.intensity.corrected.13
XwGH0539	LPS	i238	0.353761445315531	Reporter.intensity.corrected.14
XwGH0539	LPS	i239	0.33116650224741	Reporter.intensity.corrected.15
XwGH0501	LPS	i24	0.320010638186249	Reporter.intensity.corrected.8
XwGH0539	LPS	i240	0.33015676050401	Reporter.intensity.corrected.16
XwGH0502	LPS	i246	0.327125489306609	Reporter.intensity.corrected.6
XwGH0502	untreated	i247	0.708646571709265	Reporter.intensity.corrected.7
XwGH0502	untreated	i248	0.327933058315858	Reporter.intensity.corrected.8
XwGH0502	untreated	i249	0.324911272048194	Reporter.intensity.corrected.9
XwGH0501	LPS	i25	0.316799812707613	Reporter.intensity.corrected.9
XwGH0502	untreated	i250	0.367945768245957	Reporter.intensity.corrected.10
XwGH0502	untreated	i251	0.342920291962877	Reporter.intensity.corrected.11
